"duBedMusM","pm25","id"
535,23.63100052,491
1808,10.70899963,492
362,4.922999859,493
316,10.7489996,494
233,NA,495
NA,15.23600006,496
NA,14.75599957,497
NA,20.78100014,498
NA,21.83300018,499
NA,8.961999893,500
257,11.42500019,501
240,26.08099937,502
195,3.558000088,503
250,7.81400013,504
213,21.89299965,505
294,11.0369997,506
NA,10.43700027,507
724,12.125,508
NA,7.622000217,509
1559,7.94299984,510
2455,NA,511
5640,NA,512
30433,10.18900013,513
NA,22.24200058,514
NA,12.39500046,515
251,21.9279995,516
1417,NA,517
180,40.25299835,518
338,17.90699959,519
141,22.46800041,520
1249,35.25299835,521
NA,14.71899986,522
6720,22.77000046,523
NA,NA,524
NA,NA,525
9964,29.04999924,526
11551,19.32799911,527
25624,19.70199966,528
NA,NA,529
NA,6.743000031,530
202,NA,531
509,13.11400032,532
311,14.83199978,533
161,14.28600025,534
275,32.64300156,535
NA,12.48499966,536
387,NA,537
NA,NA,538
NA,NA,539
NA,NA,540
1725,28.83799934,541
2737,29.51799965,542
3548,30.96800041,543
10787,37.22100067,544
12519,NA,545
58,43.72800064,546
245,47.91600037,547
183,22.89999962,548
262,54.9070015,549
369,53.37599945,550
1926,23.74399948,551
631,25.97500038,552
3357,18.67000008,553
1967,10.59200001,554
930,14.43299961,555
132,24.37199974,556
271,14.82800007,557
895,37.99000168,558
4570,12.6960001,559
1532,9.194000244,560
1166,17.49500084,561
3302,10.75800037,562
519,5.119999886,563
1430,11.97200012,564
837,4.686999798,565
NA,NA,566
NA,NA,567
NA,NA,568
NA,NA,569
NA,NA,570
1797,29.40200043,571
1193,76.16899872,572
548,42.81000137,573
1688,24.59700012,574
657,23.06599998,575
17,19.59499931,576
448,31.5,577
132,16.24799919,578
93,25.36599922,579
18,19.14800072,580
6045,25.51300049,581
38629,13.42300034,582
12373,11.67199993,583
6095,NA,584
5648,15.98099995,585
193,23.26399994,586
665,84.20899963,587
NA,178.1340027,588
1950,41.40100098,589
